Order ID,Subcategory,Region,Sales
US-2014-159618,Bookcases,Central,67.9932
CA-2017-136539,Bookcases,Central,78.8528
CA-2017-159149,Bookcases,Central,89.0664
CA-2016-115574,Bookcases,Central,141.372
CA-2014-167997,Bookcases,Central,141.96
CA-2016-145303,Bookcases,Central,156.3728
CA-2015-153717,Bookcases,Central,160.98
CA-2017-165386,Bookcases,Central,183.372
CA-2014-166863,Bookcases,Central,193.0656
CA-2015-168480,Bookcases,Central,194.32
US-2016-104815,Bookcases,Central,198.744
CA-2017-142461,Bookcases,Central,204.6664
CA-2017-154907,Bookcases,Central,205.3328
CA-2017-113873,Bookcases,Central,205.9992
CA-2014-140487,Bookcases,Central,212.94
US-2017-167402,Bookcases,Central,212.94
CA-2017-135692,Bookcases,Central,220.2656
CA-2016-162082,Bookcases,Central,241.332
CA-2017-167381,Bookcases,Central,241.96
CA-2016-156251,Bookcases,Central,241.96
CA-2015-105690,Bookcases,Central,246.1328
US-2014-112914,Bookcases,Central,300.5328
CA-2017-124674,Bookcases,Central,327.7328
CA-2017-106432,Bookcases,Central,328.3992
CA-2016-140935,Bookcases,Central,341.96
CA-2015-118423,Bookcases,Central,359.058
US-2015-123218,Bookcases,Central,359.058
CA-2015-135251,Bookcases,Central,369.1992
CA-2015-168088,Bookcases,Central,383.4656
US-2015-122784,Bookcases,Central,384.944
CA-2016-160108,Bookcases,Central,405.86
CA-2017-137449,Bookcases,Central,409.9992
CA-2014-163468,Bookcases,Central,424.116
CA-2017-117324,Bookcases,Central,459.92
CA-2014-120411,Bookcases,Central,493.43
CA-2015-105627,Bookcases,Central,512.94
CA-2015-117415,Bookcases,Central,532.3992
CA-2015-130183,Bookcases,Central,613.9992
US-2017-133200,Bookcases,Central,623.4648
CA-2015-103954,Bookcases,Central,687.4
CA-2016-164770,Bookcases,Central,781.864
CA-2017-140326,Bookcases,Central,825.174
US-2015-122784,Bookcases,Central,913.43
US-2016-110170,Bookcases,Central,956.6648
US-2016-131611,Bookcases,Central,956.6648
CA-2017-144491,Bookcases,Central,1023.332
CA-2015-133585,Bookcases,Central,1227.9984
CA-2015-141243,Bookcases,Central,1352.3976
US-2016-100461,Bookcases,Central,1565.88
CA-2016-108987,Bookcases,Central,2396.2656
US-2015-157014,Bookcases,East,35.49
CA-2015-105102,Bookcases,East,46.384
CA-2014-149524,Bookcases,East,61.96
