date,industry,unemployments
1/1/2009,Manufacturing,1711
2/1/2009,Manufacturing,1822
3/1/2009,Manufacturing,1912
4/1/2009,Manufacturing,1968
5/1/2009,Manufacturing,2010
6/1/2009,Manufacturing,2010
7/1/2009,Manufacturing,1988
8/1/2009,Manufacturing,1866
9/1/2009,Manufacturing,1876
10/1/2009,Manufacturing,1884
11/1/2009,Manufacturing,1882
12/1/2009,Manufacturing,1747
1/1/2009,Leisure and hospitality,1487
2/1/2009,Leisure and hospitality,1477
3/1/2009,Leisure and hospitality,1484
4/1/2009,Leisure and hospitality,1322
5/1/2009,Leisure and hospitality,1599
6/1/2009,Leisure and hospitality,1688
7/1/2009,Leisure and hospitality,1600
8/1/2009,Leisure and hospitality,1636
9/1/2009,Leisure and hospitality,1469
10/1/2009,Leisure and hospitality,1604
11/1/2009,Leisure and hospitality,1524
12/1/2009,Leisure and hospitality,1624
1/1/2009,Business services,1445
2/1/2009,Business services,1512
3/1/2009,Business services,1597
4/1/2009,Business services,1448
5/1/2009,Business services,1514
6/1/2009,Business services,1580
7/1/2009,Business services,1531
8/1/2009,Business services,1560
9/1/2009,Business services,1596
10/1/2009,Business services,1488
11/1/2009,Business services,1514
12/1/2009,Business services,1486
1/1/2009,Construction,1744
2/1/2009,Construction,2025
3/1/2009,Construction,1979
4/1/2009,Construction,1737
5/1/2009,Construction,1768
6/1/2009,Construction,1601
7/1/2009,Construction,1687
8/1/2009,Construction,1542
9/1/2009,Construction,1594
10/1/2009,Construction,1744
11/1/2009,Construction,1780
12/1/2009,Construction,2044
