Date,Industry,Unemployment,Gender
1/1/2008,Manufacturing,837,male
2/1/2008,Manufacturing,820,male
3/1/2008,Manufacturing,831,male
4/1/2008,Manufacturing,796,male
5/1/2008,Manufacturing,879,male
6/1/2008,Manufacturing,862,male
7/1/2008,Manufacturing,908,male
8/1/2008,Manufacturing,960,male
9/1/2008,Manufacturing,984,male
10/1/2008,Manufacturing,1007,male
11/1/2008,Manufacturing,1144,male
12/1/2008,Manufacturing,1315,male
1/1/2009,Manufacturing,1711,male
2/1/2009,Manufacturing,1822,male
3/1/2009,Manufacturing,1912,male
4/1/2009,Manufacturing,1968,male
5/1/2009,Manufacturing,2010,male
6/1/2009,Manufacturing,2010,male
7/1/2009,Manufacturing,1988,male
8/1/2009,Manufacturing,1866,male
9/1/2009,Manufacturing,1876,male
10/1/2009,Manufacturing,1884,male
11/1/2009,Manufacturing,1882,male
12/1/2009,Manufacturing,1747,male
1/1/2010,Manufacturing,1918,male
2/1/2010,Manufacturing,1814,male
1/1/2008,Manufacturing,1014,female
2/1/2008,Manufacturing,995,female
3/1/2008,Manufacturing,854,female
4/1/2008,Manufacturing,917,female
5/1/2008,Manufacturing,890,female
6/1/2008,Manufacturing,858,female
7/1/2008,Manufacturing,906,female
8/1/2008,Manufacturing,937,female
9/1/2008,Manufacturing,788,female
10/1/2008,Manufacturing,1162,female
11/1/2008,Manufacturing,1209,female
12/1/2008,Manufacturing,1297,female
1/1/2009,Manufacturing,1679,female
2/1/2009,Manufacturing,1656,female
3/1/2009,Manufacturing,1812,female
4/1/2009,Manufacturing,2037,female
5/1/2009,Manufacturing,2187,female
6/1/2009,Manufacturing,2164,female
7/1/2009,Manufacturing,1969,female
8/1/2009,Manufacturing,1889,female
9/1/2009,Manufacturing,2056,female
10/1/2009,Manufacturing,2006,female
11/1/2009,Manufacturing,1731,female
12/1/2009,Manufacturing,1616,female
1/1/2010,Manufacturing,1858,female
2/1/2010,Manufacturing,1638,female
