date,location,meanTemp,maxTemp,minTemp
1/1/15,"San Francisco, CA",48,55,40
1/2/15,"San Francisco, CA",45,52,38
1/3/15,"San Francisco, CA",46,54,38
1/4/15,"San Francisco, CA",48,55,41
1/5/15,"San Francisco, CA",51,59,43
1/6/15,"San Francisco, CA",52,60,44
1/7/15,"San Francisco, CA",53,60,45
1/8/15,"San Francisco, CA",55,60,49
1/9/15,"San Francisco, CA",57,63,51
1/10/15,"San Francisco, CA",55,61,49
1/11/15,"San Francisco, CA",52,56,47
1/12/15,"San Francisco, CA",55,62,47
1/13/15,"San Francisco, CA",55,64,46
1/14/15,"San Francisco, CA",51,58,43
1/15/15,"San Francisco, CA",52,59,45
1/16/15,"San Francisco, CA",53,58,48
1/17/15,"San Francisco, CA",55,58,51
1/18/15,"San Francisco, CA",57,61,53
1/19/15,"San Francisco, CA",56,60,52
1/20/15,"San Francisco, CA",55,61,49
1/21/15,"San Francisco, CA",55,64,46
1/22/15,"San Francisco, CA",52,57,47
1/23/15,"San Francisco, CA",56,67,45
1/24/15,"San Francisco, CA",57,64,49
1/25/15,"San Francisco, CA",56,63,49
1/26/15,"San Francisco, CA",56,64,48
1/27/15,"San Francisco, CA",61,68,54
1/28/15,"San Francisco, CA",57,64,49
1/29/15,"San Francisco, CA",58,66,49
1/30/15,"San Francisco, CA",57,64,50
1/31/15,"San Francisco, CA",61,74,48
2/1/15,"San Francisco, CA",55,64,46
2/2/15,"San Francisco, CA",58,66,49
2/3/15,"San Francisco, CA",59,65,52
2/4/15,"San Francisco, CA",57,64,50
2/5/15,"San Francisco, CA",59,64,53
2/6/15,"San Francisco, CA",61,67,55
2/7/15,"San Francisco, CA",62,65,59
2/8/15,"San Francisco, CA",61,65,57
2/9/15,"San Francisco, CA",59,64,54
2/10/15,"San Francisco, CA",56,64,48
2/11/15,"San Francisco, CA",58,67,48
2/12/15,"San Francisco, CA",62,73,51
2/13/15,"San Francisco, CA",61,69,52
2/14/15,"San Francisco, CA",63,73,52
2/15/15,"San Francisco, CA",63,75,51
2/16/15,"San Francisco, CA",60,68,51
2/17/15,"San Francisco, CA",56,59,53
2/18/15,"San Francisco, CA",59,64,54
2/19/15,"San Francisco, CA",58,62,54
2/20/15,"San Francisco, CA",61,68,54
2/21/15,"San Francisco, CA",58,67,49
2/22/15,"San Francisco, CA",57,65,49
2/23/15,"San Francisco, CA",58,63,53
2/24/15,"San Francisco, CA",55,66,44
2/25/15,"San Francisco, CA",57,65,49
2/26/15,"San Francisco, CA",59,67,50
2/27/15,"San Francisco, CA",58,62,53
2/28/15,"San Francisco, CA",56,62,50
3/1/15,"San Francisco, CA",57,65,48
3/2/15,"San Francisco, CA",56,61,50
3/3/15,"San Francisco, CA",56,64,47
3/4/15,"San Francisco, CA",56,66,46
3/5/15,"San Francisco, CA",58,68,47
3/6/15,"San Francisco, CA",60,72,48
3/7/15,"San Francisco, CA",61,73,48
3/8/15,"San Francisco, CA",57,65,48
3/9/15,"San Francisco, CA",59,66,51
3/10/15,"San Francisco, CA",56,62,50
3/11/15,"San Francisco, CA",62,68,55
3/12/15,"San Francisco, CA",62,72,52
3/13/15,"San Francisco, CA",64,74,53
3/14/15,"San Francisco, CA",70,83,57
3/15/15,"San Francisco, CA",65,71,59
3/16/15,"San Francisco, CA",63,69,57
3/17/15,"San Francisco, CA",59,65,53
3/18/15,"San Francisco, CA",60,69,51
3/19/15,"San Francisco, CA",62,74,50
3/20/15,"San Francisco, CA",62,71,52
3/21/15,"San Francisco, CA",65,73,56
3/22/15,"San Francisco, CA",61,67,55
3/23/15,"San Francisco, CA",60,65,55
3/24/15,"San Francisco, CA",59,65,53
3/25/15,"San Francisco, CA",62,72,52
3/26/15,"San Francisco, CA",66,79,52
3/27/15,"San Francisco, CA",58,63,52
3/28/15,"San Francisco, CA",63,74,52
3/29/15,"San Francisco, CA",61,71,50
3/30/15,"San Francisco, CA",58,64,52
3/31/15,"San Francisco, CA",59,65,53
4/1/15,"San Francisco, CA",57,64,49
4/2/15,"San Francisco, CA",59,68,49
4/3/15,"San Francisco, CA",57,65,48
4/4/15,"San Francisco, CA",57,63,50
4/5/15,"San Francisco, CA",54,59,48
4/6/15,"San Francisco, CA",55,63,46
4/7/15,"San Francisco, CA",56,61,50
4/8/15,"San Francisco, CA",57,63,50
4/9/15,"San Francisco, CA",58,66,49
4/10/15,"San Francisco, CA",57,65,49
4/11/15,"San Francisco, CA",60,69,51
4/12/15,"San Francisco, CA",63,74,51
4/13/15,"San Francisco, CA",57,62,51
4/14/15,"San Francisco, CA",57,63,50
4/15/15,"San Francisco, CA",59,69,48
4/16/15,"San Francisco, CA",66,80,51
4/17/15,"San Francisco, CA",61,70,51
4/18/15,"San Francisco, CA",58,67,49
4/19/15,"San Francisco, CA",58,64,51
4/20/15,"San Francisco, CA",61,68,53
4/21/15,"San Francisco, CA",57,59,54
4/22/15,"San Francisco, CA",59,65,52
4/23/15,"San Francisco, CA",59,67,51
4/24/15,"San Francisco, CA",58,63,52
4/25/15,"San Francisco, CA",57,61,52
4/26/15,"San Francisco, CA",59,67,51
4/27/15,"San Francisco, CA",66,80,52
4/28/15,"San Francisco, CA",58,64,52
4/29/15,"San Francisco, CA",60,68,51
4/30/15,"San Francisco, CA",70,88,52
5/1/15,"San Francisco, CA",65,75,54
5/2/15,"San Francisco, CA",60,67,53
5/3/15,"San Francisco, CA",59,65,52
5/4/15,"San Francisco, CA",57,61,52
5/5/15,"San Francisco, CA",57,62,52
5/6/15,"San Francisco, CA",59,66,51
5/7/15,"San Francisco, CA",59,68,50
5/8/15,"San Francisco, CA",59,68,50
5/9/15,"San Francisco, CA",59,65,52
5/10/15,"San Francisco, CA",57,62,52
5/11/15,"San Francisco, CA",57,62,52
5/12/15,"San Francisco, CA",57,62,51
5/13/15,"San Francisco, CA",59,65,52
5/14/15,"San Francisco, CA",60,65,55
5/15/15,"San Francisco, CA",58,62,53
5/16/15,"San Francisco, CA",58,61,54
5/17/15,"San Francisco, CA",59,62,55
5/18/15,"San Francisco, CA",58,60,55
5/19/15,"San Francisco, CA",59,63,55
5/20/15,"San Francisco, CA",59,62,55
5/21/15,"San Francisco, CA",61,67,55
5/22/15,"San Francisco, CA",60,64,56
5/23/15,"San Francisco, CA",59,63,54
5/24/15,"San Francisco, CA",56,61,51
5/25/15,"San Francisco, CA",59,64,53
5/26/15,"San Francisco, CA",60,65,54
5/27/15,"San Francisco, CA",59,64,53
5/28/15,"San Francisco, CA",57,62,52
5/29/15,"San Francisco, CA",58,62,53
5/30/15,"San Francisco, CA",58,64,52
5/31/15,"San Francisco, CA",60,67,53
6/1/15,"San Francisco, CA",66,74,58
6/2/15,"San Francisco, CA",61,65,56
6/3/15,"San Francisco, CA",60,65,55
6/4/15,"San Francisco, CA",62,70,54
6/5/15,"San Francisco, CA",64,73,54
6/6/15,"San Francisco, CA",66,74,57
6/7/15,"San Francisco, CA",63,71,55
6/8/15,"San Francisco, CA",70,84,55
6/9/15,"San Francisco, CA",67,79,54
6/10/15,"San Francisco, CA",62,68,56
6/11/15,"San Francisco, CA",63,71,54
6/12/15,"San Francisco, CA",64,73,55
6/13/15,"San Francisco, CA",67,77,56
6/14/15,"San Francisco, CA",62,70,53
6/15/15,"San Francisco, CA",57,61,53
6/16/15,"San Francisco, CA",60,66,53
6/17/15,"San Francisco, CA",60,67,52
6/18/15,"San Francisco, CA",60,67,52
6/19/15,"San Francisco, CA",60,69,51
6/20/15,"San Francisco, CA",61,69,53
6/21/15,"San Francisco, CA",61,66,55
6/22/15,"San Francisco, CA",59,64,54
6/23/15,"San Francisco, CA",61,68,54
6/24/15,"San Francisco, CA",63,71,54
6/25/15,"San Francisco, CA",66,76,56
6/26/15,"San Francisco, CA",65,73,56
6/27/15,"San Francisco, CA",67,75,58
6/28/15,"San Francisco, CA",66,72,59
6/29/15,"San Francisco, CA",62,68,56
6/30/15,"San Francisco, CA",67,79,55
